"EXAMINATION QUESTION PAPER"
"School / Institute:","CAMBRIDGE INTERNAITONAL SHCOOL MADNI"
"Paper Title:","ANNUAL EXAMINATION - 2026"
"Exam Code:","EXAM-154"
"Class & Subject:","Class 12 > Physics"
"Maximum Marks:","70"
"Duration:","180 Minutes"
"Instructions:","1. All questions are compulsory. | 2. Section A contains 1-mark MCQs. | 3. Section B contains short answer questions. | 4. Use of calculators is not permitted."
""
Q#,Question Text,Option (1),Option (2),Option (3),Option (4),Correct Answer,Marks
"Q1","Two masses m_{1}  and m_{2}  are joined by a spring as shown. The system is dropped to the ground from a certain height. The spring will be :- ","(1) Stretched when m_{2}  > m_{2} ","compressed when m_{2} < m_{1}","neither compressed nor stretched only when m_{1} = m_{2}","neither compressed nor stretched regardless of the values of m_{1}  and m_{2} ","",1
"Q2","A man weighing 100 kg carries a load of 10 kg on his head. He jumps from a tower with the load on his head. What will be the weight of the load as experienced by the man ?","zero","10 kg","slightly more than 10 kg","110 kg","",1
"Q3","The ratio of weights of a man in a stationary lift and in a lift accelerating downwards with a uniform acceleration is 3 : 2. The acceleration of the lift is:-","$\frac{g}{3}$","$\frac{4}{3}$ g","$\frac{g}{2}$","g","",1
"Q4","A boy sitting on the upper berth in the compartment of a train, which is about to stop at a railway station, drops an apple aiming at the open hand of his brother vertically below his hands at a distance of about 2 m. The apple will fall :-","In the hand of his brother","Slightly away from the hands of his brother in","Slightly away from the hands of his brother in","None of the above","",1
"Q5","A man is standing at a spring platform. Reading of spring balance is 60 kg-wt. If the man jumps off from the platform, then reading of spring balance","First increases then decreases to zero","Decreases","Increases","Remains same","",1
"Q6","Two bodies A and B of masses 10 kg and 15 kg respectively kept on a smooth, horizontal surface are tied to the ends of a light string. If T represents the tension in the string when a horizontal force $F = 500$ N is appleid to A (as shown in figure 1) and T' be the tension when it is applied to B (figure2), then which of the following is true?","T = T' = 500 N","T = T' = 250 N","$T = 200$ N, T' = 300 N","$T = 300$ N, T' = 200 N","",1
"Q7","Two bodies A and B of masses 10 kg and 15 kg respectively kept on a smooth, horizontal surface are tied to the ends of a light string. If T represents the tension in the string when a horizontal force $F = 500$ N is appleid to A (as shown in figure 1) and T' be the tension when it is applied to B (figure2), then which of the following is true?","","","T = T' = 500 N","T = T' = 250 N","",1
"Q8","Three masses M_{1}, M_{2}  and M_{3}  are lying on a frictionless table. The masses are connected by massless threads as shown. The mass M_{3}  is pulled by a constant force F as shown. The tension in the thread between masses M_{2}  and M_{3}  is","\left( \frac{M_{1}+M_{2}}{M_{1}+M_{2}+M_{3}} \right) F","\left( \frac{M_{2}+M_{3}}{M_{1}+M_{2}+M_{3}} \right) F","\left( \frac{M_{1}+M_{3}}{M_{1}+M_{2}+M_{3}} \right) F","\left( \frac{M_{1}-M_{2}}{M_{1}+M_{2}+M_{3}} \right) F","",1
"Q9","Three blocks of masses m_{1},m_{2}  and m_{3}  are connected by massless strings as shown in the figure on a frictionless table. They are pulled with a force of 40 N. If m_{1}  = 10 kg, m_{2}  = 6 kg and m_{3}  = 4 kg, then tension T_{2}  will be :-","10 N","20 N","32 N","40 N","",1
"Q10","Three blocks are connected as shown in fig. on a horizontal frictionless table if m 1  = 1 kg, m^2  = 8 kg, m^3  = 27 kg and T 3  = 36N, T 2  will be :-","18 N","9 N","3.375 N","1.75 N","",1
