"EXAMINATION QUESTION PAPER"
"School / Institute:","DELHI PUBLIC SCHOOL"
"Paper Title:","ANNUAL EXAMINATION - 2026"
"Exam Code:","EXAM-785"
"Class & Subject:","Class 12 > Physics"
"Maximum Marks:","70"
"Duration:","180 Minutes"
"Instructions:","1. All questions are compulsory. | 2. Section A contains 1-mark MCQs. | 3. Section B contains short answer questions. | 4. Use of calculators is not permitted."
""
Q#,Question Text,Option (1),Option (2),Option (3),Option (4),Correct Answer,Marks
"Q1","Three blocks A, B and C of masses 4 kg, 2 kg and 1 kg respectively, are in contact on a frictionless surface, as shown. If a force of 14 N is applied on the 4 kg block, then the contact force between A and B is :","6 N","8 N","18 N","2 N","",1
"Q2"," A 0.5 kg ball moving with a speed of 12 m/s strikes a hard wall at an angle of $30^\circ$ with the wall. It is reflected with the same speed and at the same angle. If the ball is in contact with the wall for 0.25 seconds, the average force acting on the wall is :- ","48 N","24 N","12 N","96 N","",1
