"EXAMINATION QUESTION PAPER"
"School / Institute:","CAMBRIDGE INTERNATIONAL SCHOOL MANDI"
"Paper Title:","Class 12 Physics Pre-Board Examination 2026"
"Exam Code:","PHY-12-2026"
"Class & Subject:","Class 12 > Physics"
"Maximum Marks:","10"
"Duration:","180 Minutes"
"Instructions:",""
""
Q#,Question Text,Option (1),Option (2),Option (3),Option (4),Correct Answer,Marks
"Q1","Which of the following electromagnetic waves has the highest frequency?","Radio waves","Micro waves","Gamma rays","Infrared waves","C",1
"Q2","Essential characteristic of equilibrium is :- ","Momentum equals zero","Acceleration equals zero","K.E. equals zero","Velocity equals zero","",1
"Q3","","To increase the speed","To decrease the speed","To maintain the same speed","To change the direction","",1
"Q4","The velocity acquired by a mass m in travelling a certain distance d starting from rest under the action of a constant force is directly proportional to :-","","","","","",1
"Q5","A material body A of mass m 1  exerts a force on another material body B of mass m 2 . If the acceleration of B be a 2 , the magnitude of the acceleration of A is :-","Zero","","","","",1
"Q6","A man is at rest in the middle of a pond on perfectly smooth ice. He can get himself to the shore by making use of Newton's :-","First law"," Second law","Third law","Law of gravitation","",1
"Q7","When a horse pulls a wagon, the force that causes the horse to move forward is the force","He exerts on the wagon","The wagon exerts on him","The ground exerts on him","He exerts on the ground","",1
"Q8","Working of rocket or jet is based on :- ","Newton's law"," Newton's II law","Newton's III law","All the three laws","",1
"Q9","","Newton's first law","Newton's second law","Newton's third law","None of these","",1
"Q10","A body of mass 2 kg moving on a horizontal surface $with an initial velocity of 4 m/s comes to rest after$ 2 s. If one wants to keep this body moving on the same surface with a velocity of 4 m/s, the force required is :- ","8 N"," 4 N"," Zero","2 N","",1
