Q#,Question Text,Option (1),Option (2),Option (3),Option (4),Correct Answer,Marks,Difficulty,Explanation
"1","In there are 3.3 \times 10^{9} bp present genome, then what would be the length the DNA of any somatic cell","1.1 meter","2.2 meter","3.3 meter","6.6 meter","",1,"MEDIUM",""
"2","Positive charge and basic nature of histo is due to abundance of","Lysines and tryptophanes","Arginines & threonines","Lysines and arginines","Tryptophanes and threonines","",1,"MEDIUM",""
"3","Pre Medic of to ne nd 15. Negative charge of DNA is due to whi the following constituent","Sugar","Nitrogenous base","Phosphoric acid","Hydroxyl group (-OH) present on su MI","",1,"MEDIUM",""
"4","A typical nucleosome contains how m amount of DNA","100 bp","146 bp","200 bp","346 bp","",1,"MEDIUM",""
"5","In a mammalian somatic cell how m nucleosomes are present","6.6 \times 10^{9}","3.3 \times 10^{9}","3.3 \times 10^{7}","3.3 \times 10^{5}","",1,"MEDIUM",""
"6","Which of the following is actual sequ of packaging of DNA in eukaryotic cells","DNA $\to$ Chromatin $\to$ Nucleosom Chromosome","DNA Nucleosome Chromos Chromatin","DNA Nucleosome Chrom Chromosome","DNA Chromosome Chrom Nucleosome MI 19. The packaging of chromatin at higher requires additional set of proteins th known as","",1,"MEDIUM",""
"7","The mechanism that causes a gene to m from one linkage group to another is ca","Translocation","Crossing-over","Inversion","Duplication","",1,"MEDIUM",""
"8","Pre Medical 20. Regarding to Meselson and Sta experiment for semi conservative nature DNA replication select out the wro statement","15N of 15NH4Cl was incorporated in DN and other compounds","15N & 14N can be differentiate on t basis of radioactive activity","Heavy and normal DNA molecules cou be distinguished by CsCl dens gradient centrifugation","15N used in 15NH4Cl was not radioactive isotope","",1,"MEDIUM",""
"9","If normal E.Coli is allow to grow for minutes in 15NH4Cl medium then wh would be the proportion of hybrid a heavy density DNA molecules","1 : 7","7 : 1","14 : 2","1 :","",1,"MEDIUM",""
"10","Semiconservative replication of DNA chromosomes was proved by","Meselson & Stahl by using 15NH4Cl","Taylor by using 15NH4Cl","Meselson & Stahl by using tritiat thymidine","Taylor by using tritiated thymidine","",1,"MEDIUM",""
"23","How much duration of time required f replication of 4.6 \times 10^{6} pb in E.coli","83 minutes","18 minutes","2 minutes","3 hrs","",1,"MEDIUM",""
"24","What is the rate of polymerisation in E.co","20,000 bp per second","2000 nucleotides per second","2000 bp per minute","2000 bp per second","",1,"MEDIUM",""
"25","hl of ng NA h 25. During replication large amount of en get exhausted. The source of this energ","Deoxy ribonucleotide triphosphoph","Deoxyribonucleoside monoplospha","Deoxyribonucleoside triphosphate","Both 1 and 2 MI","",1,"MEDIUM",""
"26","he ld ty a 90 80 26. Regarding to direction of DNA replica select out the correct one","5' $\to$ 3' Template - continuous synt","3' $\to$ 5' Template - discontin synthesis","3' $\to$ 5' Template - continuous synt","5' $\to$ 3' Template - synt leadingstrand MI 1®","",1,"MEDIUM",""
"27","80 at nd 4 91 in ed 92 or 93 27. Which of the following scheme replication fork is true","3^5^5 x 3 x","3^5' 5 x 3 x","3' 5' 5 x 3 x","3' 5' 5 x 3 x MI /(1","",1,"MEDIUM",""
"28","i 94 28. Which of the folloiwng feature of make it labile and easily degradable","Single stranded nature","2'-OH group on sugar","Phosphodiester bond","Absence of Hydrogen bond MI","",1,"MEDIUM",""
"29","Regarding to RNA which of the followi feature is wrong","Catalytic property","Labile and easily degradable","Absence of thymine","Presence of methylated uracil","",1,"MEDIUM",""
"30","Which fo the folloiwng reason is suitable explain that RNA is best for expression characters","It shows catalytic properties","Presence of 2'-OH group on ribo sugar","It can directly code for the synthesis protein","Presence of uracil (","",1,"MEDIUM",""
"31","An adapter molecule that would on o hand read the code and on the other ha would bind to specific amino acids is","m-RNA","r-RNA","t-RNA","hm-RNA //(","",1,"MEDIUM",""
"32","Which of the following r-RNA sho structural as well as catalytic role bacteria :-","16s rRNA","23s rRNA","5s rRNA","28s rRNA 33. The unequivocal proof that DNA is t genetic material came from t experiments of","",1,"MEDIUM",""
