"EXAMINATION QUESTION PAPER"
"School / Institute:","CAMBRIDGE INTERNATIONAL SCHOOL MANDI"
"Paper Title:","ANNUAL EXAMINATION - 2026"
"Exam Code:","EXAM-247"
"Class & Subject:","Class 12 > Physics"
"Maximum Marks:","70"
"Duration:","180 Minutes"
"Instructions:","1. All questions are compulsory. | 2. Section A contains 1-mark MCQs. | 3. Section B contains short answer questions. | 4. Use of calculators is not permitted."
""
Q#,Question Text,Option (1),Option (2),Option (3),Option (4),Correct Answer,Marks
"Q1","Three blocks with masses m, 2m and 3m are connected by strings, as shown in the figure. After an upward force F is applied on block m, the masses move upward at constant speed v. What is the net force on the block of mass 2m? (g is the acceleration due to gravity) m 2m 3m v F","6 mg","zero","2 mg","3 mg","",1
"Q2","Two bodies of masses 4 kg and 5 kg are acted upon by the same force. If the acceleration of lighter body is 2 m/s^2, then the acceleration of the heavier body is :-","4.2 m/s^2","3.6 m/s^2","2.4 m/s^2","1.6 m/s^2","",1
"Q3","An object with a mass 10 kg moves at a constant velocity of 10 m/s. A constant force then acts for 4 seconds on the object giving it a speed of 2 m/s in opposite direction. The acceleration produced is :-","3 m/s^2","-3 m/s^2","0.3 m/s^2","-0.3 m/s^2","",1
"Q4","A ship of mass 3 $\times$  107 kg initially at rest is pulled by a force of 5 $\times$  104 N through a distance of 3m. Neglecting friction, the speed of the ship at this moment is :","3.0 m/s","1.5 m/s","0.1 m/s","2 m/s","",1
"Q5","In Newton's second Law = r r F ma (for constant mass m), ra is the acceleration of the mass m with respect to","any observer","any inertial observer","an observer at rest only","an observer moving with uniform speed only","",1
"Q6","Gravel is dropped onto a conveyer belt at a rate of 0.5 kg/s. The extra force required in newton to keep the belt moving at 2 m/s is :-","1 N","2 N","4 N","0.5 N","",1
"Q7","A balloon of mass M is descending with a constant acceleration g/3. When a mass m is released from the balloon it starts rising with the same acceleration g/3. The value of m is (Assuming that its volume does not change) :-","M 2","M 4","4M","2M","",1
"Q8","A block of metal weighing 2 kg is resting on a frictionless plane. It is struck by a jet releasing water at a rate of 1 kg/s with a speed of 5 m/s. The initial acceleration of the block will be :-","2.5 m/s^2","5 m/s^2","10 m/s^2","15 m/s^2","",1
"Q9","Force-time graph for the motion of a body is shown in fig. Change in linear momentum between 0 to 8 s is :-","Zero","4 N-s","8 N-s","None","",1
"Q10","Newton's II law of motion connects :","Momentum and acceleration","Change of momentum and velocity","Rate of change of momentum and external force","Rate of change of force and momentum","",1
"Q11","A water jet, whose cross sectional are is 'a' strikes a wall making an angle 'q' with the normal and rebounds elastically. The velocity of water of density 'd' is v. Force exerted on wall is :- v q q v","2 av2d cosq","2 av2d sinq","2 avd cosq","avd cosq","",1
"Q12","A player catches a ball of 200 g moving with a speed of 20 m/s. If the time taken to complete the catch is 0.5 s, the force exerted on the player's hand is :-","8 N","4 N","2 N","0","",1
"Q13","E 31. For a body of 50 kg mass, the velocity-time graph is shown in figure.The force acting on the body is : 1^2 1^2 velocity (m/s) t(s)","25 N","50 N","12.5 N","100 N","",1
"Q14","A disc of mass 1$\cdot$0 kg is kept floating horizontally in air by firing bullets of mass 0$\cdot$05 kg each vertically at it, at the rate of 10 per second. If the bullets rebound with the same speed, the speed with which these are fired will be-","0$\cdot$098 m/s","0$\cdot$98 m/s","9$\cdot$8 m/s","98$\cdot$0 m/s","",1
"Q15","If force $F = 500$ - 100t, then impulse as a function of time will be :-","500t - 50t2","50t - 10","50 - t2","100t2","",1
"Q16","Three blocks A, B and C of masses 4 kg, 2 kg and 1 kg respectively, are in contact on a frictionless surface, as shown. If a force of 14 N is applied on the 4 kg block, then the contact force between A and B is :","6 N","8 N","18 N","2 N","",1
"Q17"," A 0.5 kg ball moving with a speed of 12 m/s strikes a hard wall at an angle of $30^\circ$ with the wall. It is reflected with the same speed and at the same angle. If the ball is in contact with the wall for 0.25 seconds, the average force acting on the wall is :- ","48 N","24 N","12 N","96 N","",1
"Q18","The coefficient of static friction,  m s , between block A of mass 2 kg and the table as shown in the figure is 0.2. What would be the maximum mass value of block B so that the two blocks do not move ? The string and the pulley are assumed to be smooth and massless. ($g = 10$ m/s^2 )","4.0 kg","0.2 kg","0.4 kg","2.0 kg","",1
"Q19","","8 N","6 N","10 N","12 N","",1
"Q20","A block of mass 0.1 kg. is pressed against a wall with a horizontal force of  5N as shown in the figure. If the coefficient of friction between the wall and the block is 0.5 then the frictional force acting on the block will be ($g = 9.8$ m/s^2 ) :-","9.8 N","2.5 N","0.98 N","0.49 N","",1
"Q21","Adjoining figure shows two blocks A and B pushed against the wall with a force F. The wall is smooth but the surfaces in contact of A and B are rough. Which of the following is true for the system of blocks to be at rest against the wall ?","F should be be more than the weight of A and B","F should be equal to the weight of A and B","F should be less than the weight of A and B","system cannot be in equilibrium","",1
