"EXAMINATION QUESTION PAPER"
"School / Institute:","DELHI PUBLIC SCHOOL"
"Paper Title:","Midterm Physics Examination"
"Exam Code:","PHY-MID-2026"
"Class & Subject:","Class 12 > Physics"
"Maximum Marks:","50"
"Duration:","120 Minutes"
"Instructions:","1. Answer all questions. | 2. Calculator permitted."
""
Q#,Question Text,Option (1),Option (2),Option (3),Option (4),Correct Answer,Marks
"Q1","What is the capital of France?","Berlin","Paris","Madrid","Rome","B",2
"Q2","Solve for x: 2x + 6 = 14","x = 2","x = 3","x = 4","x = 5","C",3
