"EXAMINATION QUESTION PAPER"
"School / Institute:","cambridge international school mandi"
"Paper Title:","ANNUAL EXAMINATION - 2026"
"Exam Code:","EXAM-471"
"Class & Subject:","Class 12 > Physics"
"Maximum Marks:","70"
"Duration:","180 Minutes"
"Instructions:","1. All questions are compulsory. | 2. Section A contains 1-mark MCQs. | 3. Section B contains short answer questions. | 4. Use of calculators is not permitted."
""
Q#,Question Text,Option (1),Option (2),Option (3),Option (4),Correct Answer,Marks
"Q1","Three blocks A, B and C of masses 4 kg, 2 kg and 1 kg respectively, are in contact on a frictionless surface, as shown. If a force of 14 N is applied on the 4 kg block, then the contact force between A and B is :","6 N","8 N","18 N","2 N","",""
"Q2"," A 0.5 kg ball moving with a speed of 12 m/s strikes a hard wall at an angle of $30^\circ$ with the wall. It is reflected with the same speed and at the same angle. If the ball is in contact with the wall for 0.25 seconds, the average force acting on the wall is :- ","48 N","24 N","12 N","96 N","",""
"Q3","The coefficient of static friction,  m s , between block A of mass 2 kg and the table as shown in the figure is 0.2. What would be the maximum mass value of block B so that the two blocks do not move ? The string and the pulley are assumed to be smooth and massless. ($g = 10$ m/s^2 )","4.0 kg","0.2 kg","0.4 kg","2.0 kg","",""
"Q4","A block of mass 0.1 kg. is pressed against a wall with a horizontal force of  5N as shown in the figure. If the coefficient of friction between the wall and the block is 0.5 then the frictional force acting on the block will be ($g = 9.8$ m/s^2 ) :-","9.8 N","2.5 N","0.98 N","0.49 N","",""
"Q5","Adjoining figure shows two blocks A and B pushed against the wall with a force F. The wall is smooth but the surfaces in contact of A and B are rough. Which of the following is true for the system of blocks to be at rest against the wall ?","F should be be more than the weight of A and B","F should be equal to the weight of A and B","F should be less than the weight of A and B","system cannot be in equilibrium","",""
"Q6","Two blocks (A) 2 kg and (B) 5 kg rest one over the other on a smooth horizontal plane. The coefficient of static and dynamic friction between (A) and (B) is the same and equal to 0.60. The maximum horizontal force F that can be applied to (B) in order that both (A) and (B) do not have any relative motion is : 2 kg 5 kg"," 42 N","42 kgf","5.4 kgf","1.2 N","",""
"Q7","The coefficient of static friction between two surfaces depend on NL0098","the nature of surface","the shape of the surface in contact","the area of contact","all of the above","",""
"Q8","A body is placed on an inclined place and has to be pushed down in order to make it move. The angle made by the normal reaction with the vertical will be :-","Equal to angle of repose","Equal to the angle of friction","Less than the angle of repose","More than the angle of friction","",""
"Q9","The frictional force of the air on a body of mass 0.25 kg, falling with an accleration of 9.2 m/s^2 , will be :","1.0 N","0.55 N","0.25 N"," 0.15 N","",""
"Q10","Two masses of 10 kg 42 N 5 kg are suspended from a fixed support as shown in figure. The system is pulled down with a force of 150 N attached to the lower mass. The string attached to the support breaks 42 N the system accelerates dowards. If the downward force continues to act, what is the acceleration of the system ?","20 m/s^2","10 m/s^2","5 m/s^2","zero","",""
"Q11","Two blocks of masses 6 kg 42 N 4 kg connected by a rope of  mass 2 kg are resting on a frictionless floor as shown in the following figure. If a constant force of 60 N is applied to 6 kg block, then the tension in the rope at points A, B and C are respectively given by:","60 N, 60 N, 60 N","30 N, 25 N, 20 N","20 N, 25 N, 30 N","20 N, 20 N, 20 N","",""
"Q12","In the fig. mass $M = 10$ g. is placed on an inclined plane. In order to keep it at rest, the value of mass m will be:","5 g","$10\sqrt{3}$ g","0.10 g","$\sqrt{3}$ g","",""
"Q13","Two blocks each having a mass M are placed as shown in the figure. The acceleration of the system is :-","0","$\frac{g\sin\theta}{2}$","$g\sin\theta$","$2g\sin\theta$","",""
"Q14","Two masses of 10 kg and 20 kg respectively are connected by a massless spring as shown in the figure. A force of 200 N acts on the 20 kg mass. At the instant shown the 10 kg mass has an acceleration 4 m/s^2  rightwards. What is the acceleration of 20 kg mass ?","Zero","10 m/s^2","4 m/s^2","8 m/s^2","",""
"Q15","Three masses of 1 kg, 6 kg and 3 kg are connected to each other with threads and are placed on a table as shown in figure. What is the acceleration with which the system is moving ? (Take $g = 10$ m/s^2 )","Zero","2 m/s^2","4 m/s^2","3 m/s^2","",""
"Q16","The surface is frictionless, the ratio of T 1  and T 2  is :-","$\sqrt{3}$ : 1","1 :$\sqrt{3}$","1 : 5","5 : 1","",""
"Q17","Two blocks each of mass M are resting on a frictionless inclined planes as shown in fig. then","The block A moves down the plane","The block B moves down the plane","Both the blocks remain at rest","Both the blocks move down the plane.","",""
"Q18","Two blocks of masses 2 kg and 1 kg are in contact with each other on a frictionless table. When a horizontal force of 3.0 N is applied to the block of mass 2 kg the value of the force of contact between the two blocks is -","4 N","3 N","5 N","1 N","",""
"Q19","Three blocks are connected as shown in fig. on a horizontal frictionless table if m 1  = 1 kg, m^2  = 8 kg, m^3  = 27 kg and T 3  = 36N, T 2  will be :-","18 N","9 N","3.375 N","1.75 N","",""
